acl 2.2.52-4
python2-setuptools 1:36.6.0-1
python2-sip 4.19.3-1
python2-six 1.11.0-1
python2-unrardll 0.1.3-3
python2-webencodings 0.5.1-1
qpdf 7.0.0-1
qt4 4.8.7-22
qt5-base 5.9.2-1
qt5-declarative 5.9.2-1
qt5-location 5.9.2-1
qt5-sensors 5.9.2-1
qt5-styleplugins 5.0.0.20170311-2
qt5-svg 5.9.2-1
qt5-wayland 5.9.2-1
qt5-webchannel 5.9.2-1
qt5-webengine 5.9.2-1
qt5-webkit 5.212.0alpha2-5
qt5-x11extras 5.9.2-1
qt5-xmlpatterns 5.9.2-1
qt5ct 0.33-2
qutebrowser 1.0.1-1
randrproto 1.5.0-1
raptor 2.0.15-6
rasqal 1:0.9.33-1
re2 20170801-1
readline 7.0.003-1
recordproto 1.14.2-2
redland 1:1.0.17-4
redshift-wayland-git 1.11.r26.g295c8fa-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.1-1
rfkill 0.5-2
rhash 1.3.5-2
rkhunter 1.4.4-1
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-3
ruby 2.4.2-1
run-parts 4.8.1-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.4-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-9
sdl2 2.0.6-2
seahorse 3.20.0+105+gb31e32fe-1
sed 4.4-1
semver 5.4.1-1
serf 1.3.9-2
shadow 4.5-2
shared-mime-info 1.9-1
sip 4.19.3-1
slang 2.3.1a-1
smartmontools 6.5-2
snappy 1.1.4-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
source-highlight 3.1.8-13
spandsp 0.0.6-1
speedtest-cli 1.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.20.1-1
startup-notification 0.12-5
stow 2.2.2-5
subversion 1.9.7-3
sudo 1.8.21.p2-1
sway 0.14.0-1
sysfsutils 2.1.0-9
systemd 235.0-1
systemd-sysvcompat 235.0-1
t1lib 5.1.2-6
talloc 2.1.10-1
tar 1.29-2
tcl 8.6.7-1
tdb 1.3.15-1
tex-gyre-fonts 2.005-3
texinfo 6.4-1
texlive-bibtexextra 2017.44915-1
texlive-bin 2017.44590-7
texlive-core 2017.44918-1
texlive-fontsextra 2017.44818-1
texlive-formatsextra 2017.44177-2
texlive-games 2017.44131-1
texlive-humanities 2017.44833-1
texlive-latexextra 2017.44907-1
texlive-music 2017.44885-1
texlive-pictures 2017.44899-1
texlive-pstricks 2017.44742-1
texlive-publishers 2017.44916-1
texlive-science 2017.44906-1
thermald 1.6-1
thin-provisioning-tools 0.7.3-2
thunar 1.6.12-1
thunar-volman 0.8.1-2
tinyxml2 5.0.1-1
tlp 1.0-1
tlp-rdw 1.0-1
tmux 2.6-1
tpm-tools 1.3.9.1-2
tre 0.8.0-4
trousers 0.3.14-3
tslib 1.13-1
ttf-caladea 20130214-1
ttf-carlito 20130920-1
ttf-courier-prime 1.203-3
ttf-dejavu 2.37-1
ttf-droid 20121017-5
